国家,年份,自变量,城镇人口（占总人口比例）,人均 GDP（2010年不变价美元）,外国直接投资额（以当前价格计算，百万美元）,第一产业占比,
尼日利亚,2015,348142,47.838,2563.148864,3064.17,20.63189348,
尼日尔,2015,63689,16.247,386.3045326,529.266,36.33233588,
南非,2015,45177,64.828,7556.788579,1729.377,2.088751184,
纳米比亚,2015,76642,46.9,6412.098826,933.285,5.903916221,
莫桑比克,2015,118750,34.4,579.0880694,3866.832,22.9161876,
摩洛哥,2015,113109,60.809,3222.054178,3254.799,12.62806822,
毛里塔尼亚,2015,28413,51.089,1335.917749,502.074,24.6901665,
毛里求斯,2015,19824,41,9476.665389,216.455,3.153993847,
马里,2015,23462,39.991,727.4610779,275.415,37.72325199,
马拉维,2015,9232,16.313,507.548405,509.679,27.48122386,
马达加斯加,2015,7484,35.193,469.9423432,435.824,25.74335433,
卢旺达,2015,21251,17.004,730.4316868,379.805,28.00753826,
利比亚,2015,17380,79.27,5899.899647,0,0,
利比里亚,2015,19873,49.82,571.4531295,626.96,34.37069562,
莱索托,2015,12610,26.908,1416.839726,40.542,4.969513764,
肯尼亚,2015,384569,25.658,1093.13417,619.724,30.19240945,
科特迪瓦,2015,63005,49.444,1462.283986,494.21,22.73562326,
科摩罗,2015,2225,28.47,1352.343112,4.935,30.59862821,
喀麦隆,2015,141350,54.578,1440.3788,627.442,14.77247235,
津巴布韦,2015,45789,32.385,1234.103352,421,8.284246903,
加蓬,2015,56413,88.118,9512.009052,990.786,4.311629044,
加纳,2015,140598,54.086,1624.769623,3192.3,20.24717549,
几内亚比绍共和国,2015,3245,42.123,574.4917006,18.576,46.78812527,
几内亚,2015,48642,35.141,750.470659,53.3,18.47824205,
吉布提,2015,107188,77.417,,123.998,1.187077392,
刚果（金）,2015,,42.74,411.0205731,1673.5,18.3703885,
刚果（布）,2015,297587,65.543,3009.600686,3803.3,7.243495885,
冈比亚,2015,734,59.228,754.9924337,12.5,22.20888602,
佛得角,2015,2458,64.3,3414.557984,115.783,8.737394762,
厄立特里亚,2015,36614,,,49.323,,
多哥,2015,21176,40.1,630.9372503,257.757,24.37400299,
赤道几内亚,2015,136854,70.616,14093.81249,233.325,1.888390876,
布隆迪,2015,7146,12.078,228.4325442,7.361,30.68083011,
布基纳法索,2015,320,27.53,645.3698606,231.808,30.27166607,
博茨瓦纳,2015,31504,67.155,7613.69841,378.554,2.201055274,
贝宁,2015,9159,45.695,1128.99638,149.695,26.39208509,
安哥拉,2015,495275,63.446,3748.320623,10028.215,9.122534471,
埃塞俄比亚,2015,589402,19.428,482.6390663,2626.52,36.05697539,
埃及,2015,201777,42.785,2703.742092,6925.2,11.39408323,
阿尔及利亚,2015,824061,70.848,4777.347657,-584.46,11.57868913,
